Orthogroup	AF303741	AF371960	AY521625	AY532606	AY779031	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	NC_027778	OK042108	OK042109	OL310752	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017	Total
OG0000087	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000088	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000089	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000090	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000091	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000092	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000093	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000094	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000095	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	31
OG0000096	0	1	0	0	0	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	31
OG0000097	0	1	0	1	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000098	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	30
OG0000099	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000100	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000101	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000102	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	1	30
OG0000103	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	30
OG0000104	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	30
OG0000105	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	30
OG0000106	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	29
OG0000107	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	29
OG0000108	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	29
OG0000109	0	1	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	28
OG0000110	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	28
OG0000111	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	28
OG0000112	0	0	0	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	27
OG0000113	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	26
OG0000114	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	1	1	0	0	1	1	1	25
OG0000115	0	1	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	1	0	0	0	0	1	1	1	1	1	1	25
OG0000116	0	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	24
OG0000117	0	1	0	1	1	0	1	1	0	0	1	0	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	1	0	1	1	1	0	0	0	1	1	0	1	0	1	0	24
OG0000118	6	0	0	0	0	0	0	0	7	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
OG0000119	2	0	1	0	0	0	0	0	1	2	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	23
OG0000120	0	0	0	1	1	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	22
OG0000121	0	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	1	0	1	1	1	0	1	22
OG0000122	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
OG0000123	3	0	0	0	0	0	0	0	4	4	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
OG0000124	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	14
OG0000125	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	13
OG0000126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	0	1	13
OG0000127	1	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
